M(wt%),Ash(wt%),VM(wt%),O/C,H/C,N/C,FT(¡æ),HR(¡æ/min),FR(mL/min),Char Yield(wt%),Oil Yield(wt%),Gas Yield(wt%)
5.4,3.1,80.2,0.82,1.57,0.005,350,10,100,49.318,30.143,20.539
5.4,3.1,80.2,0.82,1.57,0.005,400,10,100,44.566,33.96,21.474
5.4,3.1,80.2,0.82,1.57,0.005,450,10,100,36.894,39.151,23.955
5.4,3.1,80.2,0.82,1.57,0.005,500,10,100,30.94,42.777,26.283
5.4,3.1,80.2,0.82,1.57,0.005,550,10,100,30.673,41.021,28.306
5.4,3.1,80.2,0.82,1.57,0.005,600,10,100,29.928,34.361,35.711
5.4,3.1,80.2,0.82,1.57,0.005,650,10,100,23.382,39.475,37.142
5.4,3.1,80.2,0.82,1.57,0.005,350,50,100,47.401,31.645,20.955
5.4,3.1,80.2,0.82,1.57,0.005,400,50,100,41.784,35.795,22.421
5.4,3.1,80.2,0.82,1.57,0.005,450,50,100,34.682,41.735,23.582
5.4,3.1,80.2,0.82,1.57,0.005,500,50,100,28.114,45.658,26.229
5.4,3.1,80.2,0.82,1.57,0.005,550,50,100,25.658,45.029,29.313
5.4,3.1,80.2,0.82,1.57,0.005,600,50,100,24.972,42.859,32.169
5.4,3.1,80.2,0.82,1.57,0.005,650,50,100,24.858,40.917,34.225
5.4,3.1,80.2,0.82,1.57,0.005,500,50,50,33.583,39.913,26.504
5.4,3.1,80.2,0.82,1.57,0.005,500,50,150,26.988,42.974,30.038
5.4,3.1,80.2,0.82,1.57,0.005,500,50,200,26.819,42.254,30.927
6.15,2.66,70.33,0.893,1.212,0.003,350,25,100,56.846,22.453,20.702
6.15,2.66,70.33,0.893,1.212,0.003,375,25,100,53.892,23.922,22.186
6.15,2.66,70.33,0.893,1.212,0.003,400,25,100,50.786,25.039,24.175
6.15,2.66,70.33,0.893,1.212,0.003,425,25,100,47.787,26.967,25.246
6.15,2.66,70.33,0.893,1.212,0.003,450,25,100,42.691,29.002,28.307
6.15,2.66,70.33,0.893,1.212,0.003,475,25,100,39.37,30.884,29.745
6.15,2.66,70.33,0.893,1.212,0.003,500,25,100,36.616,33.7,29.684
6.15,2.66,70.33,0.893,1.212,0.003,525,25,100,33.051,35.659,31.291
6.15,2.66,70.33,0.893,1.212,0.003,550,25,100,30.48,34.924,34.596
6.15,2.66,70.33,0.893,1.212,0.003,575,25,100,29.455,34.511,36.035
6.15,2.66,70.33,0.893,1.212,0.003,600,25,100,28.337,33.838,37.825
6.15,2.66,70.33,0.893,1.212,0.003,525,50,100,30.295,38.047,31.658
6.15,2.66,70.33,0.893,1.212,0.003,525,75,100,26.524,41.674,31.802
6.15,2.66,70.33,0.893,1.212,0.003,525,100,100,24.748,40.504,34.748
6.15,2.66,70.33,0.893,1.212,0.003,525,75,200,25.035,43.485,31.48
6.15,2.66,70.33,0.893,1.212,0.003,525,75,300,24.26,42.031,33.709
6.15,2.66,70.33,0.893,1.212,0.003,525,75,400,23.351,40.613,36.036
6.15,2.66,70.33,0.893,1.212,0.003,525,75,500,22.334,38.215,39.452
6.2,4.7,68.42,0.732,1.61,0.031,350,10,0,41.643,31.815,26.542
6.2,4.7,68.42,0.732,1.61,0.031,400,10,0,39.054,33.495,27.451
6.2,4.7,68.42,0.732,1.61,0.031,450,10,0,34.751,34.264,30.985
6.2,4.7,68.42,0.732,1.61,0.031,500,10,0,33.095,34.439,32.466
6.2,4.7,68.42,0.732,1.61,0.031,550,10,0,31.556,35.57,32.874
6.2,4.7,68.42,0.732,1.61,0.031,600,10,0,28.804,32.037,39.159
6.2,4.7,68.42,0.732,1.61,0.031,350,50,0,38.087,35.536,26.377
6.2,4.7,68.42,0.732,1.61,0.031,400,50,0,33.957,38.307,27.735
6.2,4.7,68.42,0.732,1.61,0.031,450,50,0,32.599,39.289,28.113
6.2,4.7,68.42,0.732,1.61,0.031,500,50,0,32.631,38.361,29.008
6.2,4.7,68.42,0.732,1.61,0.031,550,50,0,30.701,39.472,29.827
6.2,4.7,68.42,0.732,1.61,0.031,600,50,0,28.027,38.491,33.483
6.2,4.7,68.42,0.732,1.61,0.031,550,50,50,28.682,42.936,28.382
6.2,4.7,68.42,0.732,1.61,0.031,550,50,100,28.155,41.863,29.982
6.2,4.7,68.42,0.732,1.61,0.031,550,50,150,27.258,39.665,33.077
6.2,4.7,68.42,0.732,1.61,0.031,550,50,200,26.886,36.611,36.503
7.36,1.49,79.58,0.68,1.302,0.011,400,7,0,32.094,33.155,34.751
7.36,1.49,79.58,0.68,1.302,0.011,450,7,0,29.89,34.846,35.264
7.36,1.49,79.58,0.68,1.302,0.011,500,7,0,27.7,36.235,36.064
7.36,1.49,79.58,0.68,1.302,0.011,550,7,0,27.112,35.828,37.061
7.36,1.49,79.58,0.68,1.302,0.011,400,40,0,26.846,38.212,34.942
7.36,1.49,79.58,0.68,1.302,0.011,450,40,0,25.7,38.386,35.914
7.36,1.49,79.58,0.68,1.302,0.011,500,40,0,24.207,39.302,36.49
7.36,1.49,79.58,0.68,1.302,0.011,550,40,0,23.354,38.828,37.818
7.36,1.49,79.58,0.68,1.302,0.011,500,40,50,24.924,39.933,35.143
7.36,1.49,79.58,0.68,1.302,0.011,500,40,100,23.867,40.492,35.641
7.36,1.49,79.58,0.68,1.302,0.011,500,40,150,23.385,39.381,37.234
7.36,1.49,79.58,0.68,1.302,0.011,500,40,200,23.285,38.546,38.169
8.3,0.95,75,0.728,1.615,0.007,400,10,0,35.265,26.935,37.8
8.3,0.95,75,0.728,1.615,0.007,450,10,0,32.167,28.574,39.259
8.3,0.95,75,0.728,1.615,0.007,500,10,0,30.08,29.777,40.143
8.3,0.95,75,0.728,1.615,0.007,550,10,0,29.389,27.729,42.882
8.3,0.95,75,0.728,1.615,0.007,400,50,0,28.595,40.901,30.503
8.3,0.95,75,0.728,1.615,0.007,450,50,0,28.492,40.86,30.648
